Fila,Participante_declarado,Fragmento,Estado,Participante_real_si_difiere,Similitud,Evidencia_o_ventana_aproximada
128,P15,"Claro, bueno, aquí la cosa es que no hay un control formal del inventario todavía, esto aquí se realiza como una, por así decirlo, se revisa a ojo, cuando algo se está terminando, si se ha pasado, o sea, si se vence algún medicamento sin que nadie lo note, hasta lo que es como el momento de usar, lo cual genera así una gran pérdida y a veces retrasa lo que es una atención.",LITERAL,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
129,P15,"Sí, totalmente de acuerdo. O sea, le puse el máximo porque como estudiante yo veo mucho potencial en lo que es la tecnología, a que ésta ayude a no pasar por alto lo que son los detalles importantes, sobre todo en casos complicados donde la experiencia aún es falta.",LITERAL,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
130,P13,"Uno es alta confianza, es decir, lo usaría como referencia directa a tomar decisiones.",LITERAL,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
131,P15,Que las recomendaciones estén respaldadas en literatura científica veterinaria validada.,LITERAL,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
132,P15,Preferiblemente sería en el teléfono móvil,LITERAL,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
133,P15,"De una escala de 1 al 5 yo le pondría un 4. Vale. O sea, ocurren constantemente.",LITERAL,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
134,P15,"Es decir, heridas, lesiones, la evolución que el paciente ha tenido con las múltiples visitas al consultorio. Junto con lo que es la ficha.",LITERAL,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
135,P11,En algunos casos se utiliza la computadora y en otros todavía se anotan cosas en cuadernos o formatos físicos.,LITERAL,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
136,P16,"En una urgencia sería ideal tener en una sola pantalla los antecedentes, las vacunas, las alergias, lo que es medicamentos y tratamientos anteriores.",LITERAL,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
137,P16,Las demoras aparecen principalmente cuando hay varios servicios en una misma atención y se deben comprobar uno por uno.,LITERAL,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
138,P16,Algunos productos pueden quedar con pocas unidades o acercarse a su vencimiento sin una alerta automática,LITERAL,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
139,P16,Esto deja vacíos en la agenda... un recordatorio automático podría reducir este problema,LITERAL_CON_ELIPSIS,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
140,P16,Como auxiliar puede enviar recordatorios... siempre se debe consultar al profesional,LITERAL_CON_ELIPSIS,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
141,P16,Estoy bastante de acuerdo porque podría ayudar a ordenar los antecedentes y señalar información que el veterinario debería revisar.,LITERAL,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
142,P16,Si las recomendaciones muestran de dónde proviene la información y permiten que el veterinario las revise,LITERAL,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
143,P16,Debería permitir diferentes niveles de acceso según el cargo y contar con respaldo de información,LITERAL,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
144,P16,Sería conveniente que el sistema guarde temporalmente los datos y los sincronice cuando vuelva el internet,LITERAL,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
145,P11,En algunos casos se utiliza la computadora y en otros todavía se anotan cosas en cuadernos o formatos físicos.,LITERAL,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
146,P11,"También puede pasar que yo recuerde que se atendió, pero tenga que preguntarle al veterinario dónde quedó registrada determinada información.",LITERAL,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
147,P11,Los errores pueden aparecer cuando hay varios productos o procedimientos en una misma atención,LITERAL,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
148,P11,También ha pasado que algún insumo se termina y nos damos cuenta que ya se necesita.,LITERAL,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
149,P11,"Cuando una persona no llega, se pierde ese espacio de atención",LITERAL,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
150,P11,"Yo puedo orientar sobre aspectos generales relacionados con alimentación y manejo, pero cuando existe una enfermedad o una dieta terapéutica, la recomendación debe ser revisada por el veterinario.",LITERAL,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
151,P11,"La opción cinco, la última. Está totalmente de acuerdo con que un sistema inteligente analice los datos clínicos del paciente para sugerir posibles diagnósticos al veterinario.",LITERAL,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
152,P11,Me parecería útil como apoyo pero siempre tendría que existir una revisión del veterinario,LITERAL,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
153,P15,Que las recomendaciones estén respaldadas en literatura científica veterinaria validada. Que el ventilitario pueda revisar y corregir todas las sugerencias antes de aplicarlas.,LITERAL,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
154,P11,Debería funcionar bien en computadora y celular porque no siempre estamos frente a la computadora,LITERAL,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
155,P11,"Consideraría importante que el sistema también ayude a organizar las tareas del personal auxiliar, no solamente la información médica.",LITERAL,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
156,P13,"En muchas ocasiones estas historias clínicas se realizan en cuadernos físicos. En algunos casos cambiamos esto a hojas de Excel, que los lleva la principal doctora.",LITERAL,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
157,P13,"Estas consultas nos toman entre 10 a 15 minutos porque hay que copiar datos que ya estaban en anteriores fichas, o a veces se pierde información cuando el cuaderno se llena, o alguien olvida anotar algo.",LITERAL,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
158,P13,A veces se cobra un servicio que no corresponde o se nos olvida cobrar pequeñas cosas,LITERAL,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
159,P13,También hemos tenido casos de medicamentos que se nos han vencido y pues tenemos que y no hay una alerta que nos avise qué producto ya pasó o qué nos hace falta.,LITERAL,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
160,P13,"Por ejemplo, nos cancelan de dos a tres, por decirlo así, a la semana, no presentan sin avisar, no hay un justificante antes o reprogramar la cita.",LITERAL,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
161,P13,Nos consume bastante tiempo fuera de nuestro horario laboral... comunicación por WhatsApp personal de cada doctor,LITERAL_CON_ELIPSIS,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
162,P13,"Incluso nos dicen, no, es que en el Google yo vi esto y actualmente no, en el chat de PT yo vi que sí podría. Entonces creo que deberían existir aplicaciones que de verdad sean confiables para la alimentación de nuestras mascotas, y lo cual no está brindando el internet, no es tan confiable como podríamos decir que un veterinario físicamente.",LITERAL,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
163,P13,"Siempre debe quedar la decisión final en manos de un especialista, en este caso, el veterinario.",LITERAL,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
164,P13,Confianza moderada... porque no conocemos a fondo cómo funciona un sistema así,LITERAL_CON_ELIPSIS,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
165,P13,Que el veterinario pueda revisar y corregir todas las sugerencias antes de aplicarlas... Que los datos de los pacientes estén protegidos y no se compartan con terceros.,LITERAL_CON_ELIPSIS,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
166,P13,Necesita acceso desde cualquier dispositivo.,LITERAL,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
167,P13,El tema de las vacunas con alertas de refuerzo... hay mascotas que han llegado con vacunas atrasadas sin que nadie lo detectara,LITERAL_CON_ELIPSIS,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
