Fila,Participante,Participante_declarado_original,Confianza_verificacion,Codigo_abierto,Categoria_axial,Codigo_axial
122,P14,P12,"confirmado_literal | LITERAL verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Necesidad de un historial de comunicaciones por propietario,Citas y comunicación con propietarios,Necesidad de un proceso organizado/historial de comunicaciones
123,P15,P13,"confirmado_literal | LITERAL verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)","Registro en cuaderno único cronológico, sin fichas individuales por paciente",Historia clínica y gestión de pacientes,"Registro clínico no digitalizado o disperso (físico, Word, ofimática, plataformas básicas)"
124,P15,P13,"confirmado_literal | LITERAL_CON_ELIPSIS verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Búsqueda página por página por registro cronológico no organizado,Historia clínica y gestión de pacientes,Búsqueda lenta o poco confiable del historial
125,P15,P13,"confirmado_literal | LITERAL verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Descuadre de caja por doble registro manual separado,Gestión administrativa y financiera,Errores y demoras de facturación por procesos manuales
126,P15,P13,"confirmado_literal | LITERAL_CON_ELIPSIS verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)","Ausencia de control formal de inventario, revisión visual",Inventario,Ausencia de control de inventario formal (manual/inexistente)
127,P15,P13,"confirmado_literal | LITERAL verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Ausencia de agenda formal de citas,Citas y comunicación con propietarios,Ausencia de agenda formal de citas
128,P15,P13,"confirmado_literal | LITERAL verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)","Comunicación no estandarizada, dependiente de cada persona",Citas y comunicación con propietarios,Falta de estandarización y roles indefinidos en la comunicación (auxiliar vs. veterinario)
129,P15,P13,"confirmado_literal | LITERAL verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)","Total acuerdo (5/5) con IA diagnóstica, valorado como apoyo en formación",Inteligencia Artificial,Aceptación variable de IA diagnóstica (de moderada a alta)
130,P13,P13,"confirmado_literal | LITERAL verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Alta confianza en IA como referencia directa,Inteligencia Artificial,Aceptación variable de IA diagnóstica (de moderada a alta)
131,P15,P13,"confirmado_literal | LITERAL verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Condiciones de confianza: literatura validada y facilidad de uso,Inteligencia Artificial,"Condiciones de confianza en IA (literatura validada, revisión, actualizaciones, protección de datos)"
132,P15,P13,"confirmado_literal | LITERAL verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Preferencia de acceso móvil sobre computadora,Usabilidad y desempeño,"Preferencia de acceso multiplataforma/móvil (celular, laptop, tablet)"
133,P15,P13,"confirmado_literal | LITERAL verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Alta frecuencia de cortes de conectividad (4/5),Usabilidad y desempeño,Frecuencia variable de cortes de conectividad en la clínica
134,P15,P13,"confirmado_literal | LITERAL verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Registro fotográfico de evolución clínica vinculado a la ficha,Historia clínica y gestión de pacientes,Registro fotográfico de evolución clínica vinculado a la ficha
135,P11,P14,"confirmado_literal | LITERAL verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Registro clínico mixto computadora/físico,Historia clínica y gestión de pacientes,"Registro clínico no digitalizado o disperso (físico, Word, ofimática, plataformas básicas)"
136,P16,P14,"confirmado_literal | LITERAL verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)","Falta de vista unificada de antecedentes, vacunas y alergias",Historia clínica y gestión de pacientes,Búsqueda lenta o poco confiable del historial
137,P16,P14,"confirmado_literal | LITERAL verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Demoras de facturación por comprobación manual de servicios múltiples,Gestión administrativa y financiera,Errores y demoras de facturación por procesos manuales
138,P16,P14,"confirmado_literal | LITERAL verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Falta de alerta automática de bajo stock/vencimiento,Inventario,Falta de alertas automáticas de vencimiento/revisión oportuna
139,P16,P14,"confirmado_literal | LITERAL_CON_ELIPSIS verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Vacíos de agenda por olvido; interés en recordatorio automático,Citas y comunicación con propietarios,Impacto de inasistencias y pérdida de seguimiento
140,P16,P14,"confirmado_literal | LITERAL_CON_ELIPSIS verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Auxiliar transmite información del veterinario sin modificar indicaciones,Citas y comunicación con propietarios,Falta de estandarización y roles indefinidos en la comunicación (auxiliar vs. veterinario)
141,P16,P14,"confirmado_literal | LITERAL verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Acuerdo alto (4/5) con IA como apoyo para ordenar antecedentes,Inteligencia Artificial,Aceptación variable de IA diagnóstica (de moderada a alta)
142,P16,P14,"confirmado_literal | LITERAL verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Confianza condicionada a trazabilidad del origen de la recomendación de IA,Inteligencia Artificial,"Condiciones de confianza en IA (literatura validada, revisión, actualizaciones, protección de datos)"
143,P16,P14,"confirmado_literal | LITERAL verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Necesidad de niveles de acceso por cargo y respaldo de información,Usabilidad y desempeño,Necesidad de permisos diferenciados por usuario y respaldo de información
144,P16,P14,"confirmado_literal | LITERAL verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Necesidad de sincronización de datos en modo offline,Usabilidad y desempeño,Necesidad de sincronización de datos en modo offline
145,P11,P15,"confirmado_literal | LITERAL verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)","Registro clínico mixto, información pendiente con alto volumen",Historia clínica y gestión de pacientes,"Registro clínico no digitalizado o disperso (físico, Word, ofimática, plataformas básicas)"
146,P11,P15,"confirmado_literal | LITERAL verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Dificultad para ubicar dónde quedó registrada la información,Historia clínica y gestión de pacientes,Búsqueda lenta o poco confiable del historial
147,P11,P15,"confirmado_literal | LITERAL verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Errores de facturación por revisión manual de múltiples productos,Gestión administrativa y financiera,Errores y demoras de facturación por procesos manuales
148,P11,P15,"confirmado_literal | LITERAL verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Riesgo de vencimiento/agotamiento no detectado a tiempo,Inventario,Falta de alertas automáticas de vencimiento/revisión oportuna
149,P11,P15,"confirmado_literal | LITERAL verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Pérdida de espacio de atención por inasistencias pese a recordatorios,Citas y comunicación con propietarios,Impacto de inasistencias y pérdida de seguimiento
150,P11,P15,"confirmado_literal | LITERAL verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Auxiliar orienta aspectos generales; veterinario valida lo específico,Citas y comunicación con propietarios,Falta de estandarización y roles indefinidos en la comunicación (auxiliar vs. veterinario)
151,P11,P15,"confirmado_literal | LITERAL verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)","Total acuerdo (5/5) con IA sugiriendo diagnósticos, con revisión profesional",Inteligencia Artificial,Aceptación variable de IA diagnóstica (de moderada a alta)
152,P11,P15,"confirmado_literal | LITERAL verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)","Confianza moderada en IA, sin sustituir indicación del profesional",Inteligencia Artificial,Validación/revisión obligatoria del veterinario sobre sugerencias de IA
153,P15,P15,"confirmado_literal | LITERAL verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Condiciones de confianza: literatura validada y revisión veterinaria,Inteligencia Artificial,"Condiciones de confianza en IA (literatura validada, revisión, actualizaciones, protección de datos)"
154,P11,P15,"confirmado_literal | LITERAL verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Necesidad de funcionamiento en computadora y celular,Usabilidad y desempeño,"Preferencia de acceso multiplataforma/móvil (celular, laptop, tablet)"
155,P11,P15,"confirmado_literal | LITERAL verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Solicitud de gestión de tareas operativas del personal auxiliar,Gestión administrativa y financiera,Gestión de tareas operativas del personal auxiliar
156,P13,P16,"confirmado_literal | LITERAL verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Registro en cuadernos físicos y hojas de Excel,Historia clínica y gestión de pacientes,"Registro clínico no digitalizado o disperso (físico, Word, ofimática, plataformas básicas)"
157,P13,P16,"confirmado_literal | LITERAL verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Duplicación manual de datos ya existentes en fichas anteriores,Historia clínica y gestión de pacientes,Duplicación manual de datos ya existentes en fichas anteriores
158,P13,P16,"confirmado_literal | LITERAL verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Errores de cobro por servicios olvidados o cobrados incorrectamente,Gestión administrativa y financiera,Errores y demoras de facturación por procesos manuales
159,P13,P16,"confirmado_literal | LITERAL verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Medicamentos vencidos sin alerta previa,Inventario,Falta de alertas automáticas de vencimiento/revisión oportuna
160,P13,P16,"confirmado_literal | LITERAL verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Cancelaciones frecuentes sin recordatorio automático,Citas y comunicación con propietarios,Impacto de inasistencias y pérdida de seguimiento
161,P13,P16,"confirmado_literal | LITERAL_CON_ELIPSIS verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Comunicación por WhatsApp personal consume tiempo fuera de horario laboral,Citas y comunicación con propietarios,Canales informales de comunicación con propietarios (WhatsApp/teléfono)
162,P13,P16,"confirmado_literal | LITERAL verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Desconfianza en fuentes de internet no validadas usadas por propietarios,Inteligencia Artificial,Desconfianza en fuentes de internet no validadas usadas por propietarios
163,P13,P16,"confirmado_literal | LITERAL verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)","Acuerdo alto (4/5) con IA sugiriendo diagnósticos, decisión final del veterinario",Inteligencia Artificial,Validación/revisión obligatoria del veterinario sobre sugerencias de IA
164,P13,P16,"confirmado_literal | LITERAL_CON_ELIPSIS verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)","Confianza moderada en IA, con validación propia",Inteligencia Artificial,Aceptación variable de IA diagnóstica (de moderada a alta)
165,P13,P16,"confirmado_literal | LITERAL_CON_ELIPSIS verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Condiciones de confianza: revisión veterinaria y protección de datos,Inteligencia Artificial,"Condiciones de confianza en IA (literatura validada, revisión, actualizaciones, protección de datos)"
166,P13,P16,"confirmado_literal | LITERAL verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Necesidad de acceso multiplataforma y rapidez por alta rotación de personal,Usabilidad y desempeño,"Preferencia de acceso multiplataforma/móvil (celular, laptop, tablet)"
167,P13,P16,"confirmado_literal | LITERAL_CON_ELIPSIS verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Solicitud de alertas de refuerzo de vacunas,Historia clínica y gestión de pacientes,Control y recordatorio de vacunación
